time,open,high,low,close,volume
2018-01-01T22:00:00.000000000Z,1.20101,1.20101,1.20101,1.20101,1.0
2018-01-01T22:01:30.000000000Z,1.2013,1.2013,1.20097,1.20097,5.0
2018-01-01T22:01:50.000000000Z,1.20093,1.20098,1.20081,1.20098,4.0
2018-01-01T22:02:00.000000000Z,1.20098,1.20098,1.20098,1.20098,2.0
2018-01-01T22:02:05.000000000Z,1.20103,1.20103,1.20103,1.20103,1.0
2018-01-01T22:03:45.000000000Z,1.20087,1.20102,1.20082,1.20102,7.0
2018-01-01T22:06:00.000000000Z,1.20096,1.20096,1.2009,1.2009,2.0
2018-01-01T22:06:15.000000000Z,1.20074,1.20074,1.20074,1.20074,1.0
2018-01-01T22:06:35.000000000Z,1.20087,1.20095,1.20087,1.20095,3.0
2018-01-01T22:06:50.000000000Z,1.20109,1.20112,1.20095,1.20095,5.0
2018-01-01T22:06:55.000000000Z,1.20088,1.20096,1.20072,1.20087,10.0
2018-01-01T22:07:00.000000000Z,1.20091,1.20094,1.20091,1.20094,2.0
2018-01-01T22:07:35.000000000Z,1.20087,1.20092,1.20075,1.20075,5.0
2018-01-01T22:07:40.000000000Z,1.20093,1.20098,1.20093,1.20098,2.0
2018-01-01T22:07:45.000000000Z,1.20103,1.20103,1.20098,1.20098,2.0
2018-01-01T22:08:15.000000000Z,1.20105,1.20119,1.20105,1.20105,5.0
2018-01-01T22:08:20.000000000Z,1.20121,1.20131,1.20121,1.20131,3.0
2018-01-01T22:08:30.000000000Z,1.20136,1.20136,1.20136,1.20136,1.0
2018-01-01T22:08:45.000000000Z,1.20141,1.20145,1.20135,1.20135,3.0
2018-01-01T22:08:50.000000000Z,1.20151,1.20151,1.20151,1.20151,1.0
2018-01-01T22:09:00.000000000Z,1.20138,1.20138,1.20119,1.20119,5.0
2018-01-01T22:09:25.000000000Z,1.20114,1.20149,1.20114,1.20149,7.0
2018-01-01T22:09:30.000000000Z,1.20132,1.20132,1.20128,1.20128,2.0
2018-01-01T22:09:40.000000000Z,1.2014,1.20144,1.2014,1.20144,2.0
2018-01-01T22:09:45.000000000Z,1.20149,1.20149,1.20149,1.20149,1.0
2018-01-01T22:10:05.000000000Z,1.20131,1.20131,1.20119,1.20119,3.0
2018-01-01T22:10:10.000000000Z,1.20127,1.20127,1.20127,1.20127,1.0
2018-01-01T22:10:30.000000000Z,1.20121,1.20121,1.20116,1.20116,6.0
2018-01-01T22:11:10.000000000Z,1.20129,1.20129,1.20129,1.20129,1.0
2018-01-01T22:14:15.000000000Z,1.20138,1.20138,1.20138,1.20138,1.0
2018-01-01T22:14:20.000000000Z,1.20137,1.20137,1.20135,1.20135,2.0
2018-01-01T22:14:50.000000000Z,1.20126,1.20129,1.20126,1.20129,2.0
2018-01-01T22:15:00.000000000Z,1.20129,1.20129,1.20129,1.20129,2.0
2018-01-01T22:15:05.000000000Z,1.20146,1.20165,1.2012,1.2012,16.0
2018-01-01T22:15:10.000000000Z,1.20119,1.20146,1.20119,1.20146,5.0
2018-01-01T22:15:15.000000000Z,1.2013,1.2013,1.20119,1.20119,11.0
2018-01-01T22:15:30.000000000Z,1.20118,1.20118,1.20118,1.20118,1.0
2018-01-01T22:15:35.000000000Z,1.2012,1.20121,1.2012,1.20121,2.0
2018-01-01T22:15:40.000000000Z,1.2012,1.2012,1.2012,1.2012,1.0
2018-01-01T22:15:45.000000000Z,1.20123,1.20123,1.20102,1.20108,13.0
2018-01-01T22:15:50.000000000Z,1.20111,1.20111,1.201,1.201,7.0
2018-01-01T22:18:50.000000000Z,1.20107,1.20107,1.20107,1.20107,1.0
2018-01-01T22:18:55.000000000Z,1.20122,1.20122,1.20122,1.20122,2.0
2018-01-01T22:19:00.000000000Z,1.20121,1.20123,1.20121,1.20122,6.0
2018-01-01T22:19:05.000000000Z,1.20124,1.20124,1.20124,1.20124,3.0
2018-01-01T22:19:10.000000000Z,1.20124,1.20124,1.20124,1.20124,4.0
2018-01-01T22:19:15.000000000Z,1.20109,1.20109,1.20109,1.20109,1.0
2018-01-01T22:19:25.000000000Z,1.20109,1.20109,1.20109,1.20109,1.0
2018-01-01T22:20:05.000000000Z,1.20103,1.20103,1.20103,1.20103,1.0
2018-01-01T22:20:35.000000000Z,1.20082,1.20082,1.20082,1.20082,2.0
2018-01-01T22:20:40.000000000Z,1.20083,1.20084,1.20082,1.20083,5.0
2018-01-01T22:20:45.000000000Z,1.20083,1.20083,1.20083,1.20083,2.0
2018-01-01T22:21:20.000000000Z,1.20092,1.20092,1.20092,1.20092,1.0
2018-01-01T22:27:35.000000000Z,1.20106,1.20107,1.20083,1.20083,8.0
2018-01-01T22:27:45.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:27:55.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:28:00.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:28:10.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:28:15.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:28:20.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:28:25.000000000Z,1.20083,1.20083,1.20082,1.20082,2.0
2018-01-01T22:28:30.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:28:35.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:28:40.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:28:45.000000000Z,1.20083,1.20083,1.20083,1.20083,2.0
2018-01-01T22:28:50.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:28:55.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:29:00.000000000Z,1.20082,1.20082,1.20082,1.20082,1.0
2018-01-01T22:29:05.000000000Z,1.20083,1.20083,1.20082,1.20082,3.0
2018-01-01T22:29:10.000000000Z,1.20083,1.20083,1.20082,1.20082,2.0
2018-01-01T22:29:15.000000000Z,1.20083,1.20083,1.20082,1.20082,4.0
2018-01-01T22:29:20.000000000Z,1.20083,1.20083,1.20082,1.20082,2.0
2018-01-01T22:29:25.000000000Z,1.20083,1.20083,1.20083,1.20083,1.0
2018-01-01T22:29:30.000000000Z,1.20082,1.20083,1.20082,1.20083,2.0
2018-01-01T22:29:35.000000000Z,1.20092,1.20092,1.20092,1.20092,1.0
2018-01-01T22:30:20.000000000Z,1.20098,1.20101,1.20098,1.20101,2.0
2018-01-01T22:30:35.000000000Z,1.20102,1.20102,1.20102,1.20102,1.0
2018-01-01T22:32:20.000000000Z,1.2011,1.20116,1.2011,1.20116,3.0
2018-01-01T22:32:25.000000000Z,1.20123,1.20131,1.20112,1.20124,9.0
2018-01-01T22:35:10.000000000Z,1.20118,1.20177,1.20118,1.20176,8.0
2018-01-01T22:35:50.000000000Z,1.20178,1.20181,1.20178,1.20181,2.0
2018-01-01T22:36:15.000000000Z,1.20204,1.20204,1.20175,1.20175,3.0
2018-01-01T22:36:20.000000000Z,1.20181,1.20181,1.20177,1.20177,2.0
2018-01-01T22:36:25.000000000Z,1.20188,1.20202,1.20188,1.20202,4.0
2018-01-01T22:36:30.000000000Z,1.20183,1.20199,1.20167,1.20167,17.0
2018-01-01T22:36:35.000000000Z,1.20166,1.20166,1.20166,1.20166,1.0
2018-01-01T22:36:40.000000000Z,1.2018,1.2018,1.2018,1.2018,1.0
2018-01-01T22:37:35.000000000Z,1.20169,1.20169,1.20169,1.20169,1.0
2018-01-01T22:39:25.000000000Z,1.20185,1.20186,1.20184,1.20184,4.0
2018-01-01T22:39:30.000000000Z,1.20184,1.20184,1.2018,1.20182,4.0
2018-01-01T22:39:35.000000000Z,1.20181,1.20181,1.20181,1.20181,1.0
2018-01-01T22:39:45.000000000Z,1.20183,1.20183,1.20174,1.20174,2.0
2018-01-01T22:40:25.000000000Z,1.20172,1.20172,1.20172,1.20172,1.0
2018-01-01T22:47:25.000000000Z,1.20186,1.20188,1.20179,1.20179,5.0
2018-01-01T22:47:55.000000000Z,1.20167,1.20167,1.20167,1.20167,2.0
2018-01-01T22:48:00.000000000Z,1.20166,1.20166,1.20166,1.20166,1.0
2018-01-01T22:48:05.000000000Z,1.20167,1.20167,1.20167,1.20167,1.0
2018-01-01T22:48:15.000000000Z,1.20177,1.20177,1.20177,1.20177,1.0
2018-01-01T22:49:10.000000000Z,1.20172,1.20172,1.20158,1.20158,5.0
2018-01-01T22:54:20.000000000Z,1.20166,1.20173,1.20166,1.20167,9.0
2018-01-01T22:59:00.000000000Z,1.20175,1.2018,1.2016,1.2016,10.0
2018-01-01T22:59:05.000000000Z,1.2016,1.2016,1.2016,1.2016,1.0
2018-01-01T22:59:10.000000000Z,1.20159,1.20159,1.20159,1.20159,1.0
2018-01-01T22:59:15.000000000Z,1.2016,1.20164,1.2016,1.20163,6.0
2018-01-01T22:59:25.000000000Z,1.20162,1.20162,1.20159,1.20159,5.0
2018-01-01T22:59:30.000000000Z,1.20164,1.20164,1.20164,1.20164,1.0
2018-01-01T23:00:00.000000000Z,1.20172,1.20172,1.20153,1.20155,7.0
2018-01-01T23:00:25.000000000Z,1.20152,1.20152,1.20152,1.20152,1.0
2018-01-01T23:00:35.000000000Z,1.20148,1.20148,1.20148,1.20148,1.0
2018-01-01T23:00:45.000000000Z,1.20146,1.20146,1.20146,1.20146,1.0
2018-01-01T23:01:00.000000000Z,1.2014,1.2014,1.20123,1.20139,9.0
2018-01-01T23:01:05.000000000Z,1.2014,1.2014,1.20133,1.20135,5.0
2018-01-01T23:01:10.000000000Z,1.20124,1.20137,1.20124,1.20129,16.0
2018-01-01T23:01:15.000000000Z,1.20127,1.20128,1.20121,1.20122,17.0
2018-01-01T23:01:20.000000000Z,1.2013,1.2013,1.20117,1.20124,5.0
2018-01-01T23:01:25.000000000Z,1.20153,1.20153,1.2012,1.20122,11.0
2018-01-01T23:01:30.000000000Z,1.2012,1.20134,1.2012,1.20132,11.0
2018-01-01T23:01:35.000000000Z,1.2012,1.20132,1.20118,1.20125,13.0
2018-01-01T23:01:40.000000000Z,1.20139,1.20141,1.20131,1.20139,4.0
2018-01-01T23:01:45.000000000Z,1.20128,1.20176,1.20128,1.20176,14.0
2018-01-01T23:01:50.000000000Z,1.20145,1.20159,1.20108,1.20111,57.0
2018-01-01T23:01:55.000000000Z,1.20112,1.20122,1.20076,1.20086,23.0
2018-01-01T23:02:00.000000000Z,1.20085,1.20085,1.20079,1.20079,2.0
2018-01-01T23:02:05.000000000Z,1.20062,1.20092,1.20061,1.20082,26.0
2018-01-01T23:02:10.000000000Z,1.20051,1.20068,1.20051,1.20068,6.0
