time,open,high,low,close,volume
2019-01-01T22:00:00.000000000Z,1.27613,1.27613,1.27613,1.27613,1.0
2019-01-01T22:01:00.000000000Z,1.275,1.275,1.275,1.275,1.0
2019-01-01T22:02:00.000000000Z,1.275,1.27507,1.27483,1.27507,3.0
2019-01-01T22:03:00.000000000Z,1.27476,1.27498,1.2747,1.27498,3.0
2019-01-01T22:05:00.000000000Z,1.27472,1.275,1.27472,1.27476,3.0
2019-01-01T22:06:00.000000000Z,1.27459,1.2749,1.27456,1.27456,37.0
2019-01-01T22:08:00.000000000Z,1.27436,1.27457,1.27436,1.27457,2.0
2019-01-01T22:10:00.000000000Z,1.27435,1.27471,1.2743,1.27471,6.0
2019-01-01T22:11:00.000000000Z,1.27447,1.27475,1.27447,1.27475,2.0
2019-01-01T22:12:00.000000000Z,1.27454,1.27506,1.27454,1.27506,8.0
2019-01-01T22:15:00.000000000Z,1.27506,1.27506,1.27484,1.27484,2.0
2019-01-01T22:17:00.000000000Z,1.27507,1.27507,1.27507,1.27507,1.0
2019-01-01T22:21:00.000000000Z,1.27474,1.27474,1.27451,1.27451,2.0
2019-01-01T22:22:00.000000000Z,1.27477,1.27506,1.27477,1.27506,4.0
2019-01-01T22:29:00.000000000Z,1.27512,1.27529,1.27493,1.275,26.0
2019-01-01T22:30:00.000000000Z,1.27493,1.27523,1.27471,1.27472,21.0
2019-01-01T22:31:00.000000000Z,1.27498,1.27503,1.27471,1.27471,4.0
2019-01-01T22:32:00.000000000Z,1.27495,1.27513,1.27475,1.27481,10.0
2019-01-01T22:34:00.000000000Z,1.27505,1.27505,1.27482,1.27482,2.0
2019-01-01T22:35:00.000000000Z,1.27477,1.2753,1.27477,1.27505,4.0
2019-01-01T22:36:00.000000000Z,1.27483,1.27529,1.27478,1.27493,18.0
2019-01-01T22:37:00.000000000Z,1.27521,1.27532,1.275,1.27525,8.0
2019-01-01T22:38:00.000000000Z,1.275,1.27527,1.27495,1.27527,29.0
2019-01-01T22:39:00.000000000Z,1.27532,1.27538,1.27481,1.27504,9.0
2019-01-01T22:40:00.000000000Z,1.27477,1.27506,1.27467,1.27495,10.0
2019-01-01T22:41:00.000000000Z,1.27512,1.27512,1.27449,1.2748,12.0
2019-01-01T22:42:00.000000000Z,1.27459,1.27493,1.27446,1.27446,97.0
2019-01-01T22:43:00.000000000Z,1.27441,1.27465,1.27426,1.27451,8.0
2019-01-01T22:44:00.000000000Z,1.27426,1.27452,1.27426,1.27451,10.0
2019-01-01T22:45:00.000000000Z,1.27446,1.27446,1.27446,1.27446,1.0
2019-01-01T22:46:00.000000000Z,1.27421,1.27421,1.27411,1.27411,3.0
2019-01-01T22:47:00.000000000Z,1.27436,1.27441,1.27431,1.27431,4.0
2019-01-01T22:48:00.000000000Z,1.27406,1.27441,1.27406,1.27408,8.0
2019-01-01T22:49:00.000000000Z,1.27403,1.27403,1.27388,1.27388,4.0
2019-01-01T22:51:00.000000000Z,1.27414,1.27414,1.27414,1.27414,1.0
2019-01-01T22:53:00.000000000Z,1.27388,1.27426,1.27388,1.27426,4.0
2019-01-01T22:54:00.000000000Z,1.27431,1.27436,1.2741,1.27436,3.0
