time,open,high,low,close,volume
2018-01-07T22:00:00.000000000Z,1.20301,1.20301,1.20301,1.20301,1.0
2018-01-07T22:00:15.000000000Z,1.20312,1.20312,1.20312,1.20312,1.0
2018-01-07T22:00:30.000000000Z,1.20296,1.20296,1.20296,1.20296,1.0
2018-01-07T22:00:35.000000000Z,1.2031,1.2031,1.2031,1.2031,1.0
2018-01-07T22:01:05.000000000Z,1.20314,1.20314,1.20314,1.20314,1.0
2018-01-07T22:02:00.000000000Z,1.20314,1.20314,1.20314,1.20314,2.0
2018-01-07T22:02:15.000000000Z,1.20331,1.20331,1.20331,1.20331,1.0
2018-01-07T22:02:45.000000000Z,1.20319,1.20319,1.20319,1.20319,1.0
2018-01-07T22:02:50.000000000Z,1.20299,1.20299,1.20297,1.20297,3.0
2018-01-07T22:03:35.000000000Z,1.20297,1.20297,1.20297,1.20297,1.0
2018-01-07T22:04:10.000000000Z,1.20297,1.20307,1.20297,1.20307,2.0
2018-01-07T22:04:30.000000000Z,1.2031,1.2031,1.2031,1.2031,1.0
2018-01-07T22:05:55.000000000Z,1.2031,1.2031,1.2031,1.2031,1.0
2018-01-07T22:06:00.000000000Z,1.203,1.2031,1.20286,1.2031,10.0
2018-01-07T22:06:25.000000000Z,1.20314,1.20317,1.20314,1.20317,2.0
2018-01-07T22:06:50.000000000Z,1.20328,1.20329,1.20326,1.20329,3.0
2018-01-07T22:07:00.000000000Z,1.20329,1.20332,1.20324,1.20324,4.0
2018-01-07T22:07:05.000000000Z,1.20329,1.20348,1.20329,1.20348,3.0
2018-01-07T22:07:20.000000000Z,1.20342,1.20357,1.20342,1.20344,3.0
2018-01-07T22:07:35.000000000Z,1.20357,1.20357,1.20357,1.20357,2.0
2018-01-07T22:07:50.000000000Z,1.20357,1.20364,1.20351,1.20351,8.0
2018-01-07T22:08:10.000000000Z,1.20354,1.20354,1.20354,1.20354,1.0
2018-01-07T22:08:20.000000000Z,1.20342,1.20348,1.20338,1.20348,3.0
2018-01-07T22:08:40.000000000Z,1.20345,1.20345,1.20345,1.20345,1.0
2018-01-07T22:08:55.000000000Z,1.20348,1.20354,1.20346,1.20354,5.0
2018-01-07T22:09:00.000000000Z,1.20344,1.20344,1.20343,1.20343,4.0
2018-01-07T22:09:05.000000000Z,1.20345,1.20345,1.20345,1.20345,1.0
2018-01-07T22:09:10.000000000Z,1.20345,1.20345,1.20343,1.20343,4.0
2018-01-07T22:09:15.000000000Z,1.20343,1.20343,1.2034,1.20343,7.0
2018-01-07T22:09:25.000000000Z,1.20345,1.20345,1.20345,1.20345,1.0
2018-01-07T22:09:40.000000000Z,1.20346,1.20357,1.20346,1.20357,5.0
2018-01-07T22:09:50.000000000Z,1.20364,1.20384,1.20364,1.20384,5.0
2018-01-07T22:09:55.000000000Z,1.20388,1.20388,1.20388,1.20388,1.0
2018-01-07T22:10:00.000000000Z,1.20374,1.20374,1.20357,1.20357,3.0
2018-01-07T22:10:05.000000000Z,1.20364,1.20364,1.20364,1.20364,1.0
2018-01-07T22:11:45.000000000Z,1.20366,1.20366,1.20366,1.20366,1.0
2018-01-07T22:12:35.000000000Z,1.20375,1.20375,1.20375,1.20375,2.0
2018-01-07T22:12:40.000000000Z,1.20369,1.20369,1.20369,1.20369,1.0
2018-01-07T22:13:20.000000000Z,1.20364,1.20364,1.2036,1.2036,2.0
2018-01-07T22:13:45.000000000Z,1.20358,1.20371,1.20358,1.20371,5.0
2018-01-07T22:13:50.000000000Z,1.20372,1.20372,1.20372,1.20372,1.0
2018-01-07T22:14:25.000000000Z,1.20369,1.20369,1.20364,1.20364,4.0
2018-01-07T22:14:40.000000000Z,1.20365,1.20366,1.20363,1.20363,4.0
2018-01-07T22:14:45.000000000Z,1.20361,1.20361,1.20361,1.20361,1.0
2018-01-07T22:14:50.000000000Z,1.20361,1.20361,1.20337,1.20337,10.0
2018-01-07T22:14:55.000000000Z,1.20334,1.20334,1.20331,1.20331,2.0
2018-01-07T22:15:00.000000000Z,1.20331,1.20331,1.20331,1.20331,2.0
2018-01-07T22:15:05.000000000Z,1.20327,1.20328,1.20317,1.20317,10.0
2018-01-07T22:15:20.000000000Z,1.20323,1.20342,1.20323,1.20342,8.0
2018-01-07T22:15:25.000000000Z,1.20343,1.20343,1.20343,1.20343,1.0
2018-01-07T22:16:30.000000000Z,1.20346,1.20346,1.20324,1.20324,9.0
2018-01-07T22:16:35.000000000Z,1.20324,1.20324,1.20324,1.20324,1.0
2018-01-07T22:16:40.000000000Z,1.2033,1.20353,1.2033,1.20352,8.0
2018-01-07T22:16:45.000000000Z,1.20356,1.20356,1.20356,1.20356,1.0
2018-01-07T22:17:45.000000000Z,1.20345,1.20345,1.20343,1.20343,3.0
2018-01-07T22:17:50.000000000Z,1.20343,1.20343,1.20343,1.20343,1.0
2018-01-07T22:18:10.000000000Z,1.20343,1.20344,1.20343,1.20343,4.0
2018-01-07T22:18:45.000000000Z,1.20343,1.20344,1.20343,1.20344,3.0
2018-01-07T22:19:05.000000000Z,1.20344,1.20345,1.20344,1.20345,3.0
2018-01-07T22:19:10.000000000Z,1.20345,1.20345,1.20345,1.20345,1.0
2018-01-07T22:19:15.000000000Z,1.20345,1.20345,1.2033,1.2033,10.0
2018-01-07T22:19:40.000000000Z,1.20329,1.20329,1.20329,1.20329,1.0
2018-01-07T22:19:50.000000000Z,1.20329,1.20331,1.20329,1.20331,3.0
